"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.999867910E-1,-8.944034576E-2,-2.714471817E0,5.037593365E0,5.723085158E0
1.004701739E0,1.028323174E0,-2.157581806E0,4.428253651E0,5.032100773E0
1.009416686E0,2.458674431E0,-1.466617584E0,3.879148483E0,4.821186581E0
1.014131634E0,8.380212784E0,-1.788223743E0,2.925030589E-1,8.573871267E0
1.018846582E0,9.924645424E0,-8.286476135E-1,-1.132362366E0,1.002334715E1
1.023561530E0,8.587214470E0,6.599764824E-1,-1.003058076E0,8.670752379E0
1.028276478E0,5.643416405E0,1.345348835E0,-2.084664851E-1,5.805305374E0
1.032991426E0,2.753244400E0,1.272400141E0,4.916742742E-1,3.072637375E0
1.037706374E0,4.397869110E-2,9.464528561E-1,9.450817108E-1,1.338240103E0
1.042421322E0,-2.758536816E0,6.641452312E-1,1.393608570E0,3.161132566E0
1.047136270E0,-5.370330811E0,4.668407440E-1,1.628114939E0,5.631087954E0
1.051851166E0,-6.862080097E0,6.978025436E-1,1.644829988E0,7.090877050E0
1.056566166E0,-6.525481701E0,1.703857660E0,2.401338816E0,7.159013232E0
1.061281114E0,-3.491939068E0,3.620957851E0,2.857708454E0,5.785453467E0
1.065996009E0,1.042075634E0,3.351339817E0,1.142087340E0,3.690767358E0
1.070710957E0,4.533717632E0,2.521554708E0,-7.366529703E-1,5.239798786E0
1.075425905E0,7.213041782E0,2.174249172E0,-2.310883522E0,7.880070677E0
1.080140853E0,8.449495316E0,2.226755142E0,-3.383335829E0,9.370131850E0
1.084855801E0,8.165529251E0,2.070567608E0,-3.596958637E0,9.159761438E0
1.089570749E0,6.289710999E0,1.925302267E0,-2.852410793E0,7.169623463E0
1.094285697E0,4.108393192E0,1.604035139E0,-1.695766687E0,4.725192907E0
1.099000645E0,1.302249908E0,5.070357323E-1,4.338254929E-1,1.463265053E0
1.103715593E0,-3.080821037E-1,-1.030502319E0,2.664150715E0,2.873073032E0
1.108430489E0,1.025678158E0,-2.397282124E0,3.517368317E0,4.378453738E0
1.113145489E0,3.260149956E0,-3.881377697E0,2.655206680E0,5.722219244E0
1.117860436E0,4.699254990E0,-4.549375057E0,1.736344218E0,6.767178298E0
1.122575384E0,4.284348488E0,-4.465983868E0,7.119118571E-1,6.229564380E0
1.127290332E0,2.221138954E0,-4.980177879E0,1.309546471E0,5.608078274E0
1.132005280E0,8.906259537E-1,-3.272063255E0,5.922551751E-1,3.442437905E0
1.136720228E0,8.044309616E-1,-1.705273151E0,1.461553574E-2,1.885544830E0
1.141435176E0,-2.756834030E-1,-8.775234222E-1,1.753678620E-1,9.363773717E-1
1.146150124E0,-7.489786148E-1,6.389942169E-1,1.515603662E-1,9.961190287E-1
1.150865072E0,1.606955528E-1,2.304202318E0,-1.642531157E-1,2.315631765E0
1.155580020E0,1.009799957E0,3.646875620E0,-4.794011414E-1,3.814344399E0
1.160294968E0,1.658258438E0,4.604193687E0,-3.662008345E-1,4.907394789E0
1.165009916E0,1.334431648E0,5.940021515E0,8.284632564E-1,6.144177308E0
1.169724864E0,1.224377632E0,6.108838081E0,1.450648665E0,6.396982479E0
1.174439759E0,1.522538185E0,5.596722126E0,1.283194423E0,5.940371117E0
1.179154707E0,1.336618900E0,4.902902603E0,8.638317585E-1,5.154726892E0
1.183869655E0,-3.255028725E-1,4.521440506E0,-5.041432381E-1,4.561089428E0
1.188584603E0,-1.621100426E0,4.262070656E0,-1.195900202E0,4.714169085E0
1.193299551E0,-1.569021702E0,3.781594515E0,-1.762377501E0,4.457382711E0
1.198014499E0,-2.575118780E0,4.345334053E0,-8.595972061E-1,5.123677597E0
1.202729447E0,-2.270887852E0,4.632829666E0,2.217096329E0,5.615652988E0
1.207444395E0,-4.684371948E-1,3.537123680E0,5.526864529E-1,3.610559465E0
1.212159343E0,9.926352501E-1,2.576881886E0,-8.488654494E-1,2.888982095E0
1.216874291E0,2.352541447E0,1.968250275E0,-4.372307777E0,5.340930228E0
1.221589239E0,3.198797226E0,2.056207657E0,-5.805866718E0,6.940344514E0
1.226304186E0,3.356881142E0,2.632912159E0,-4.261286259E0,6.029878773E0
1.231019134E0,3.393509388E0,3.149249792E0,-1.834219217E0,4.979763082E0
1.235734082E0,3.510538101E0,3.267737150E0,-1.003311872E-1,4.797087678E0
1.240449030E0,4.374573231E0,2.684182167E0,1.669822216E0,5.397224388E0
1.245163978E0,5.533104897E0,1.190403461E0,1.432201624E0,5.838108571E0
1.249878926E0,5.154333115E0,-8.956871033E-1,2.920450687E0,5.991530477E0
1.254593874E0,5.279113770E0,-2.394258499E0,6.558208466E-1,5.833662395E0
1.259308822E0,4.183088303E0,-3.374232292E0,-2.072841167E0,5.760238000E0
1.264023770E0,2.628692627E0,-3.479923248E0,-2.125736237E0,4.851664177E0
1.268738666E0,1.531150818E0,-3.113405228E0,7.624250650E-2,3.470378633E0
1.273453666E0,-1.316552639E0,-3.024042606E0,2.036089420E0,3.876055297E0
